Datierung
""
Hellenistische Zeit
römische Zeit
18. Dyn.
19. Dyn.
26. Dyn.
Spätzeit
20. Dyn. - 21. Dyn.
25. Dyn. - 26. Dyn.
21. Dyn. - 22. / 23. Dyn.
20. Dyn.
Dritte Zwischenzeit - 26. Dyn.
21. Dyn.
19. Dyn. - 20. Dyn.
Dritte Zwischenzeit - Spätzeit
18.-19. Dyn.
12. Dyn.
12. Dyn. - 13. / 14. Dyn.
200-225 n. Chr.
Neues Reich
30. Dyn.
Römische Zeit
1-150 n. Chr.
100-150 n. Chr.
200-250 n. Chr.
105-150 v. Chr.
101-200 n. Chr
1-100 v. Chr.
18. Dyn. - 19. Dyn.
150-200 n. Chr. 
50-150 n. Chr.
101-200 v. Chr.
18.Dyn.
25. Dyn.
75-125 n. Chr.
100-199 n. Chr.
27. Dyn.
19.-20. Dyn.
Griechisch-römische Zeit
"keiner, Kolophon"
1-100 n. Chr.
13. / 14. Dyn.
15. / 16. / 17. Dyn.
